stage,count,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,max_ms
authentication,2933,0.0192,0.0137,0.0142,0.0354,0.0546,0.3471
security_trust,2933,0.0109,0.0993,0.0067,0.0167,0.0266,5.3754
rule_detector,2933,0.0038,0.005,0.003,0.0073,0.0101,0.2446
isolation_forest,1000,5.1201,2.3546,4.1168,8.9815,10.6815,20.7264
lstm_ae,1000,1.3823,2.7923,1.1738,2.4624,3.1695,85.8246
gnn,2933,0.9104,3.3473,0.8608,1.5682,1.993,180.9994
fusion,2933,0.2723,0.1531,0.2018,0.5383,0.7931,1.5842
policy,2933,0.0083,0.0127,0.006,0.0146,0.0223,0.5192
explainability,2933,0.0157,0.0109,0.0108,0.0277,0.0547,0.1683
audit_logging,2933,0.0254,0.0186,0.0182,0.0498,0.0754,0.3398
total_pipeline,2933,3.4891,5.389,1.454,11.3009,13.8442,201.3477
network_10_node_tick,600,70.6737,16.3242,67.6454,100.3415,112.9533,129.1536
